question,answer,passage,label
was integration the rule in the northern states,False,"Some schools around America were integrated before the mid-20th century, the first ever school being Lowell High School in Massachusetts, which has accepted students of all races at its inception. The earliest known African American student, Caroline Van Vronker, attended the school in 1843. The integration of all American schools was a major catalyst for the civil rights action and racial violence that occurred in the United States during the latter half of the 20th century.",0
is the port mann bridge a toll bridge,False,"In order to recover construction and operating costs, the bridge was electronically tolled when originally built. The toll rates increased to $1.60 for motorcycle, $3.15 for cars, $6.30 for small trucks and $9.45 for large trucks on August 15, 2015. Through increased prices and greater traffic, Transportation Investment Corporation (TI Corp), the public Crown corporation responsible for toll operations on the Port Mann Bridge, forecast its revenue would grow by 85% between fiscal years 2014 and 2017. These fees were assessed using radio-frequency identification (RFID) decals or licence plate photos. A B.C. licensed driver who owes more than $25 in tolls outstanding 90 days is penalized $20 and is unable to purchase vehicle insurance or renew drivers permits without payment of the debt. Out-of-province drivers were also contacted for payment by a US-based contractor. A licence plate processing fee of $2.30 per trip was added to the toll rate for unregistered users who did not pay their toll within seven days of their passage. Monthly passes, which allowed unlimited crossing on the bridge, were available for purchase. Users may have set up an account for online payment of tolls. Users who opted for this method received a decal with an embedded RFID to place on their vehicle's windshield or headlight and avoid paying a processing fee. Tolls were expected to be removed by the year of 2050 or after collecting $3.3 billion. As announced by B.C. Premier John Horgan a few days earlier, all tolls on the Port Mann Bridge were removed on September 1, 2017. Debt service was transferred to the province of British Columbia at a cost of $135 million per year.",0
is the black sea connected to the mediterranean,True,"The Black Sea has a positive water balance; that is, a net outflow of water 300 km (72 cu mi) per year through the Bosphorus and the Dardanelles into the Aegean Sea. Mediterranean water flows into the Black Sea as part of a two-way hydrological exchange. The Black Sea outflow is cooler and less saline, and floats over the warm, more saline Mediterranean inflow -- as a result of differences in density caused by differences in salinity -- leading to a significant anoxic layer well below the surface waters. The Black Sea drains into the Mediterranean Sea, via the Aegean Sea and various straits, and is navigable to the Atlantic Ocean. The Bosphorus Strait connects it to the Sea of Marmara, and the Strait of the Dardanelles connects that sea to the Aegean Sea region of the Mediterranean. These waters separate Eastern Europe, the Caucasus and Western Asia. The Black Sea is also connected to the Sea of Azov by the Strait of Kerch.",1
is there a new kung fu panda coming out,True,"The Kung Fu Panda franchise from DreamWorks Animation consists of three films: Kung Fu Panda (2008), Kung Fu Panda 2 (2011) and Kung Fu Panda 3 (2016). The first two were distributed by Paramount Pictures, while the third film was distributed by 20th Century Fox. Three shorts, Secrets of the Furious Five (2008), Kung Fu Panda Holiday Special (2010) and Kung Fu Panda: Secrets of the Masters (2011), were also released. A television series for Nickelodeon television network, Kung Fu Panda: Legends of Awesomeness, premiered in the fall of 2011. A second series, entitled Kung Fu Panda: The Paws of Destiny, is currently being developed and is scheduled to be released on Amazon Prime in 2018.",1
is the world cup in soccer every year,False,"The FIFA World Cup, often simply called the World Cup, is an international association football competition contested by the senior men's national teams of the members of the Fédération Internationale de Football Association (FIFA), the sport's global governing body. The championship has been awarded every four years since the inaugural tournament in 1930, except in 1942 and 1946 when it was not held because of the Second World War. The current champion is France, which won its second title at the 2018 tournament in Russia.",0
are there any tin mines left in cornwall,False,"Historically, tin and copper as well as a few other metals (e.g. arsenic, silver, and zinc) have been mined in Cornwall and Devon. As of 2007 there are no active metalliferous mines remaining. However, tin deposits still exist in Cornwall, and there has been talk of reopening the South Crofty tin mine. In addition, work has begun on re-opening the Hemerdon tungsten and tin mine in south-west Devon. In view of the economic importance of mines and quarries, geological studies have been conducted: about forty distinct minerals have been identified from type localities in Cornwall (e.g. endellionite from St Endellion). Quarrying of the igneous and metamorphic rocks has also been a significant industry. In the 20th century the extraction of kaolin was important economically.",0
can a hiatal hernia cause an irregular heartbeat,True,"Hiatal hernia has often been called the ``great mimic'' because its symptoms can resemble many disorders. Among them, a person with a hiatal hernia can experience dull pains in the chest, shortness of breath (caused by the hernia's effect on the diaphragm), heart palpitations (due to irritation of the vagus nerve), and swallowed food ``balling up'' and causing discomfort in the lower esophagus until it passes on to the stomach. In addition, hiatal hernias often result in heartburn but may also cause chest pain or pain with eating.",1
can a wheel and axle be called a lever,True,"The wheel and axle can be viewed as a version of the lever, with a drive force applied tangentially to the perimeter of the wheel and a load force applied to the axle, respectively, that are balanced around the hinge which is the fulcrum. The mechanical advantage of the wheel and axle is the ratio of the distances from the fulcrum to the applied loads, or what is the same thing the ratio of the diameter of the wheel and axle. A major application is in wheeled vehicles, in which the wheel and axle are used to reduce friction of the moving vehicle with the ground. Other examples of devices which use the wheel and axle are capstans, belt drives and gears.",1
does the dorsal root ganglion carry sensory input,True,"A dorsal root ganglion (or spinal ganglion) (also known as a posterior root ganglion), is a cluster of neurons (a ganglion) in a dorsal root of a spinal nerve. The cell bodies of sensory neurons known as first-order neurons are located in the dorsal root ganglia.",1
is age of ultron connected to guardians of the galaxy,True,"The first film in the series was Iron Man (2008), which was distributed by Paramount Pictures. Paramount also distributed Iron Man 2 (2010), Thor (2011) and Captain America: The First Avenger (2011), while Universal Pictures distributed The Incredible Hulk (2008). Walt Disney Studios Motion Pictures began distributing the films with the 2012 crossover film The Avengers, which concluded Phase One of the franchise. Phase Two includes Iron Man 3 (2013), Thor: The Dark World (2013), Captain America: The Winter Soldier (2014), Guardians of the Galaxy (2014), Avengers: Age of Ultron (2015), and Ant-Man (2015).",1
is 4x4 the same as 4 wheel drive,True,"Four-wheel drive, also called 4×4 (``four by four'') or 4WD, refers to a two-axled vehicle drivetrain capable of providing torque to all of its wheels simultaneously. It may be full-time or on-demand, and is typically linked via a transfer case providing an additional output drive-shaft and, in many instances, additional gear ranges.",1
is there a gmc version of the avalanche,False,"The Chevrolet Avalanche is a four-door, five or six passenger pickup truck sharing GM's long-wheelbase chassis used on the Chevrolet Suburban and Cadillac Escalade ESV. Breaking with a long-standing tradition, the Avalanche was not available as a GMC, but only as a Chevrolet.",0
did scotland win the world cup in 1978,False,"After taking a single point from their opening two games, Scotland had to defeat the Netherlands by three clear goals to progress. Despite the Dutch taking the lead, Scotland fought back to win 3--2 with a goal from Kenny Dalglish and two from Archie Gemmill, the second of which is considered one of the greatest World Cup goals ever; Gemmill beat three Dutch defenders before lifting the ball over goalkeeper Jan Jongbloed into the net. The victory was not sufficient to secure a place in the second round, however, as Scotland were eliminated on goal difference for the second successive World Cup. This performance against strong opponents only heightened the frustration at the poor results earlier in the competition. MacLeod initially retained his position, but resigned later that year.",0
does deadpool have a kid in the comics,True,"As part of Marvel's Marvel NOW! initiative a new Deadpool ongoing series was launched, written by Brian Posehn and Gerry Duggan and illustrated by Tony Moore. He is also a member of the Thunderbolts. In the 27th issue of his new series, as part of ``All-New Marvel NOW!'', Deadpool was married for the third time. Initially a secret, his bride was revealed in the webcomic Deadpool: The Gauntlet to be Shiklah, Queen of the Undead. Deadpool also discovers that he has a daughter by the name of Eleanor from a former flame of Deadpool named Carmelita.",1
is a lungo the same as an americano,False,"A caffè lungo should not be mistaken for a caffè americano (an espresso with hot water added to it) or a long black (hot water with a short black added to it, which is the inverse order to an Americano and done to preserve the crema).",0
does anyone die in the movie forever my girl,True,"In Saint Augustine, Louisiana, Josie is left at the altar by her fiancé Liam. Eight years later, Liam is a successful country singer. The day after a concert in New Orleans, Liam learns that Mason, one of his groomsmen from the wedding, has been killed in a car accident. Liam returns to St. Augustine and attends Mason's funeral. Although Liam attempts to be discreet, Josie recognizes him. After Mason's burial, Josie approaches Liam and punches him in the stomach.",1
is motherhood maternity and destination maternity the same,True,"As of September, 2017, Destination Maternity operates over 1,000 retail locations in North America, including 512 stores, predominantly under the trade-names Motherhood Maternity®, A Pea in the Pod®, and Destination Maternity®, and sells on the web through DestinationMaternity.com, Motherhood.com and APeainthePod.com; Destination Maternity brands are offered at retailers such as Macy's and Boscov's.",1
can you buy alcohol on sunday in wi,True,"State law requires that bars be closed between 2:00 a.m. and 6:00 a.m. Monday through Friday and between 2:30 a.m. and 6:00 a.m. on Saturday and Sunday. Exceptions are made on New Year's Eve, when no closing is required, and for changes in Daylight Saving Time. State law does not permit municipalities to further restrict when bars must be closed. Municipalities may elect, however, to prohibit the issuance of liquor licenses, making the municipality effectively dry.",1
is impaired driving a criminal offence in alberta,True,"In 1951, Parliament re-worded the law, making it an offence to operate or have care or control of a motor vehicle while the driver's ability to operate the motor vehicle was impaired by alcohol or other drugs.",1
is gear oil the same as motor oil,False,"While they take the same form, the viscosity grades for gear oils are on a different scale than the viscosity grades for an engine oil. The viscometrics for gear oils are standardized in SAE J306. Multigrade gear oils are becoming more common; while gear oil does not reach the temperatures of motor oil, it does warm up appreciably as the car is driven, due mostly to shear friction (with a small amount of heat conduction through the bellhousing from the engine block).",0
does daniel come back to life in once upon a time,True,"Dr. Whale/Victor Frankenstein approaches Prince Charming/David Nolan(Josh Dallas), who then punches him for sleeping with Snow White/Mary Margaret. Dr. Whale asks David if there may be a chance that they could find another portal that could lead them to another world, and hopefully find Dr. Whale's missing brother. Dr. Whale suspects that Regina may have the answer. Meanwhile, Regina is visiting Jiminy Cricket/Dr. Archie Hopper (Raphael Sbarge) for a series of sessions to let go of using her magic so she can see Henry (Jared S. Gilmore) again. Dr. Whale bursts into Archie's office and confronts Regina during her session to demand that she send him back to his world so he can find his brother. Regina, however, tells Archie that she only brought along whom she wanted, including the body of her beloved Daniel that she preserved with a spell. Later that night, while driving home in the rain, Regina sees whom she believes is Daniel roaming the streets, then finds his glass coffin empty, leading her to believe that Dr. Whale is behind this. As Regina arrives at the hospital to confront the doctor, she sees him on the lab floor with his arm ripped off. Dr. Whale confesses to Regina that he has brought Daniel back, but he has become a ``monster.'' The following morning, David confronts Regina at the hospital; she tells him about what Dr. Whale did, and David reveals that he knows what Snow White/Mary Margaret did to her that started this immense hatred. Regina suggests to David that the resurrected Daniel is reliving his last thoughts and probably has gone to the stables. Unfortunately, Henry is also there, tending to the new horse that David gave him.",1
has anyone ever hit a hole-in-one on a par 5,True,"Holes in one most commonly occur on par 3 holes, the shortest distance holes on a standard size golf course. Longer hitters have also accomplished this feat on longer holes, though nearly all par 4 and par 5 holes are too long for golfers to reach in a single shot. While well known outside of golf and often requiring a well hit shot and significant power, holes in one are considered to also contain an element of luck. As such, they are more common and considered less impressive than other hole accomplishments such as completing a par 5 in two shots (an albatross). As of October 2008, a condor (four under par) hole-in-one on a par 5 hole had been recorded on four occasions, aided by thin air at high altitude, or by cutting the corner on a doglegged or horseshoe-shaped hole.",1
is britain still a member of european union,True,"The United Kingdom European Union membership referendum, also known as the EU referendum and the Brexit referendum, took place on 23 June 2016 in the United Kingdom (UK) and Gibraltar to gauge support for the country either remaining a member of, or leaving, the European Union (EU) under the provisions of the European Union Referendum Act 2015 and also the Political Parties, Elections and Referendums Act 2000. The referendum resulted in a simple majority of 51.9% (of people who voted) being in favour of leaving the EU. Although legally the referendum was non-binding, the government of that time had promised to implement the result, and it initiated the official EU withdrawal process on 29 March 2017, which put the UK on course to leave the EU by 30 March 2019, after a period of Brexit negotiations.",1
is there going to be another series of the apprentice,True,"At present, the show has run for thirteen series, with the most recent revealing in late 2017 that a fourteenth series is being created to be aired at the end of 2018.",1
is there a season four of red rock,False,"Following a major overhaul in the summer of 2016, each episode is now a single 60 minute transmission, including advertisements. The series was also moved to 9:00pm on Mondays, to allow for grittier storylines, as the series is now post-watershed. A special-double episode was broadcast on 9 January 2017 as a single 120 minute transmission. This episode was co-written by actor Shaun Williamson. The second series was broadcast in the UK between 17 July 2017 and 8 September 2017, with Series 3 scheduled for this year.",0
is profit and loss statement same as income statement,True,"An income statement or profit and loss account (also referred to as a profit and loss statement (P&L), statement of profit or loss, revenue statement, statement of financial performance, earnings statement, operating statement, or statement of operations) is one of the financial statements of a company and shows the company's revenues and expenses during a particular period. It indicates how the revenues (money received from the sale of products and services before expenses are taken out, also known as the ``top line'') are transformed into the net income (the result after all revenues and expenses have been accounted for, also known as ``net profit'' or the ``bottom line''). The purpose of the income statement is to show managers and investors whether the company made or lost money during the period being reported.",1
does the fibula form part of the knee joint,False,"The fibula or calf bone is a leg bone located on the lateral side of the tibia, with which it is connected above and below. It is the smaller of the two bones, and, in proportion to its length, the slenderest of all the long bones. Its upper extremity is small, placed toward the back of the head of the tibia, below the level of the knee joint, and excluded from the formation of this joint. Its lower extremity inclines a little forward, so as to be on a plane anterior to that of the upper end; it projects below the tibia, and forms the lateral part of the ankle-joint.",0
can i get my ashes shot into space,True,"Private companies such as Celestis, Inc., Elysium Space, Ascending Memories,, Orbital Memorialsand Horizon Ascending Limited., offer space burial services.",1
is the routing number the same as transit number,False,"A routing number consists of a five digit transit number (also called branch number) identifying the branch where an account is held and a three digit financial institution number corresponding to the financial institution. The number is given as one of the following forms, where XXXXX is the transit number and YYY is the financial institution number:",0
will private eyes be renewed for season 3,True,"On September 21, 2017, Global ordered a 12 episode third season set to start production in spring 2018. Shooting has been underway, including at Queens Quay.",1
is there a train station in atlantic city,True,"The Atlantic City Rail Terminal is Atlantic City, New Jersey's train station. It is the easternmost stop on the Atlantic City Line to and from Philadelphia. The station was also served by the Atlantic City Express Service (ACES) from 2009 until it was formally discontinued on March 9, 2012. The Atlantic City terminal is a 5-track, 3-platform terminal located inside of the Atlantic City Convention Center. The Atlantic City Line is a commuter train and runs daily all day.",1
does the goalkeeper count in the offside rule,True,"A player is in an 'offside position' if they are in the opposing team's half of the field and also ``nearer to the opponents' goal line than both the ball and the second-last opponent.'' The 2005 edition of the Laws of the Game included a new IFAB decision that stated, ``In the definition of offside position, 'nearer to his opponents' goal line' means that any part of their head, body or feet is nearer to their opponents' goal line than both the ball and the second last opponent. The arms are not included in this definition''. By 2017, the wording had changed to say that, in judging offside position, ``The hands and arms of all players, including the goalkeepers, are not considered.'' In other words, a player is in an offside position if two conditions are met:",1
has anything been brought up from the titanic,True,"Between 25 July and 10 September 1987, an expedition mounted by IFREMER and a consortium of American investors which included George Tulloch, G. Michael Harris, D. Michael Harris and Ralph White made 32 dives to Titanic using the submersible Nautile. Controversially, they salvaged and brought ashore more than 1,800 objects. A joint Russian-Canadian-American expedition took place in 1991 using the research vessel Akademik Mstislav Keldysh and its two MIR submersibles. Sponsored by Stephen Low and IMAX, CBS, National Geographic and others, the expedition carried out extensive scientific research with a crew of 130 scientists and engineers. The MIRs carried out 17 dives, spending over 140 hours at the bottom, shooting 40,000 feet (12,000 m) of IMAX film. This was used to create the 1995 documentary film Titanica, which was later released in the US on DVD in a re-edited version narrated by Leonard Nimoy.",1
is fidelity bond the same as crime insurance,True,"While called bonds, these obligations to protect an employer from employee-dishonesty losses are really insurance policies. These insurance policies protect from losses of company monies, securities, and other property from employees who have a manifest intent to i) cause the company to sustain a loss and ii) obtain an improper financial benefit, either for themselves or another party. There are also many other coverage extensions available through the purchase of additional insuring agreements. These are common to most crime insurance policies (burglary, fire, general theft, computer theft, disappearance, fraud, forgery, etc.) and are designed to further protect specific company assets.",1
does the first amendment separate church and state,True,"``Separation of church and state'' is paraphrased from Thomas Jefferson and used by others in expressing an understanding of the intent and function of the Establishment Clause and Free Exercise Clause of the First Amendment to the Constitution of the United States which reads: ``Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof...''",1
are all the songs in mama mia here we go again by abba,True,"Mamma Mia! Here We Go Again is a 2018 jukebox musical romantic comedy film written and directed by Ol Parker, from a story by Parker, Catherine Johnson, and Richard Curtis. It is a follow-up to the 2008 film Mamma Mia!, which in turn is based on the musical of the same name using the music of ABBA. The film features an ensemble cast, including Lily James, Amanda Seyfried, Christine Baranski, Julie Walters, Pierce Brosnan, Andy García, Dominic Cooper, Colin Firth, Stellan Skarsgård, Jessica Keenan Wynn, Alexa Davies, Jeremy Irvine, Josh Dylan, Hugh Skinner, Cher, and Meryl Streep. Both a prequel and a sequel, the plot is set after the events of the first film, and also features flashbacks to 1979, telling the story of Donna Sheridan's arrival on the island of Kalokairi and her first meetings with her daughter Sophie's three possible fathers.",1
is the old panama canal still in use,True,"The new locks opened for commercial traffic on 26 June 2016, and the first ship to cross the canal using the third set of locks was a modern New Panamax vessel, the Chinese-owned container ship Cosco Shipping Panama. The original locks, now over 100 years old, allow engineers greater access for maintenance, and are projected to continue operating indefinitely.",1
was poland part of the league of nations,True,"The League's greatest extent was from 28 September 1934 (when Ecuador joined) to 23 February 1935 (when Paraguay withdrew) with 58 members. At this time, only Costa Rica (22 January 1925), Brazil (14 June 1926), Japan (27 March 1933) and Germany (19 September 1933) had withdrawn and only Egypt was left to join (on 26 May 1937). The members (listed from earliest joining and alphabetically if they joined on the same day) at this time were Argentina, Australia, Belgium, Bolivia, the British Empire, Canada, Chile, China, Colombia, Cuba, Czechoslovakia, Denmark, El Salvador, France, Greece, Guatemala, Haiti, Honduras, India, Italy, Liberia, the Netherlands, New Zealand, Nicaragua, Norway, Panama, Paraguay, Persia/Iran, Peru, Poland, Portugal, Romania, Siam, South Africa, Spain, Sweden, Switzerland, Uruguay, Venezuela, Yugoslavia, Austria, Bulgaria, Finland, Luxembourg, Albania, Estonia, Latvia, Lithuania, Hungary, the Irish Free State, Ethiopia, the Dominican Republic, Mexico, Turkey, Iraq, the Soviet Union, Afghanistan, and Ecuador.",1
do you have to touch the ball to be offside in soccer,False,"Offside is one of the laws of association football, codified in Law 11 of the Laws of the Game. The law states that a player is in an offside position if any of their body parts except the hands and arms is in the opponents' half of the pitch and closer to the opponents' goal line than both the ball and the second-last opponent (the last opponent is usually but not necessarily the goalkeeper).",0
can a home team win by 2 in extra innings,False,"Ordinarily, a baseball game consists of nine innings (in softball and high school baseball games there are typically seven innings; in Little League Baseball, six), each of which is divided into halves: the visiting team bats first, after which the home team takes its turn at bat. However, if the score remains tied at the end of the regulation number of complete innings, the rules provide that ``play shall continue until (1) the visiting team has scored more total runs than the home team at the end of a completed inning; or (2) the home team scores the winning run in an uncompleted inning.'' (Since the home team bats second, condition (2) implies that the visiting team will not have the opportunity to score more runs before the end of the inning.)",0
